term,frequency_doc1,frequency_doc2,sum_of_frequencies
messenger,4,2,6
speech,4,2,6
already,4,2,6
rise,5,1,6
drink,0,6,6
works,0,6,6
governor,0,6,6
helpe,6,0,6
whence,6,0,6
rosse,6,0,6
toth,6,0,6
sisters,6,0,6
tyrants,6,0,6
point,5,1,6
mother,5,1,6
nation,0,6,6
himselfe,6,0,6
wisedome,6,0,6
doth,5,1,6
ask,0,6,6
next,1,5,6
humanity,0,6,6
seene,6,0,6
took,0,5,5
harme,5,0,5
old,4,1,5
em,5,0,5
holy,3,2,5
grave,5,0,5
mans,3,2,5
black,4,1,5
bene,5,0,5
english,5,0,5
chance,5,0,5
offer,2,3,5
gods,2,3,5
imitate,0,5,5
remember,3,2,5
bless,3,2,5
bad,4,1,5
honest,5,0,5
mortall,5,0,5
divine,1,4,5
nations,0,5,5
fire,5,0,5
downe,5,0,5
strike,5,0,5
deepe,5,0,5
going,1,4,5
word,5,0,5
rare,0,5,5
hell,5,0,5
maiesty,5,0,5
highness,5,0,5
amen,5,0,5
certaine,5,0,5
hither,4,1,5
otherwise,0,5,5
seas,1,4,5
safe,5,0,5
single,3,2,5
faces,5,0,5
thankes,5,0,5
thither,5,0,5
whether,4,1,5
servants,3,2,5
hide,4,1,5
terrible,5,0,5
sonnes,5,0,5
backe,5,0,5
thanes,5,0,5
meanes,5,0,5
comfort,5,0,5
duties,5,0,5
estate,2,3,5
ship,0,5,5
malcolme,5,0,5
cold,4,1,5
thanks,3,2,5
home,5,0,5
blessing,3,2,5
service,3,2,5
seyward,5,0,5
takes,5,0,5
shake,5,0,5
find,0,5,5
fate,5,0,5
wine,3,2,5
move,4,1,5
sweet,4,1,5
heavens,4,1,5
velvet,0,5,5
experiments,0,5,5
law,0,5,5
thrice,5,0,5
selves,5,0,5
room,0,5,5
company,2,3,5
touch,3,2,5
worse,4,1,5
cut,3,2,5
taken,0,5,5
wrought,4,1,5
arts,0,5,5
towards,3,2,5
doubt,4,1,5
cauldron,5,0,5
thence,5,0,5
office,3,2,5
whereof,0,5,5
title,5,0,5
worst,5,0,5
labour,3,2,5
foule,5,0,5
hees,5,0,5
become,4,1,5
attend,4,1,5
large,2,3,5
crown,3,2,5
question,4,1,5
think,0,5,5
silk,0,5,5
violent,4,1,5
pleasure,4,1,5
eare,5,0,5
stands,5,0,5
natures,5,0,5
person,3,2,5
innocent,5,0,5
honors,4,0,4
crvell,4,0,4
byrnane,4,0,4
meat,0,4,4
liud,4,0,4
throne,4,0,4
gainst,4,0,4
alas,4,0,4
spirit,2,2,4
fine,0,4,4
delight,2,2,4
yong,4,0,4
sonne,4,0,4
dyde,4,0,4
calld,4,0,4
broke,4,0,4
dearest,4,0,4
toward,4,0,4
white,1,3,4
arme,4,0,4
bensalem,0,4,4
souldier,4,0,4
gate,4,0,4
bosome,4,0,4
turn,2,2,4
ivy,0,4,4
chair,0,4,4
shame,4,0,4
seemeth,1,3,4
colour,1,3,4
wherein,1,3,4
dost,3,1,4
anon,4,0,4
performe,4,0,4
burn,4,0,4
golden,4,0,4
hard,3,1,4
bubble,4,0,4
wast,4,0,4
prythee,4,0,4
charme,4,0,4
relation,1,3,4
borne,4,0,4
remedy,0,4,4
cast,3,1,4
hill,2,2,4
sorts,1,3,4
europe,0,4,4
spake,0,4,4
cedar,0,4,4
taking,1,3,4
age,1,3,4
castle,4,0,4
side,0,4,4
days,0,4,4
vantage,3,1,4
trust,4,0,4
breed,4,0,4
hostesse,4,0,4
play,4,0,4
spend,4,0,4
making,2,2,4
humbly,1,3,4
knocking,4,0,4
bleed,4,0,4
fair,0,4,4
used,0,4,4
meane,4,0,4
cure,3,1,4
course,2,2,4
sleep,3,1,4
need,4,0,4
prayers,3,1,4
cryd,4,0,4
laugh,4,0,4
approach,4,0,4
second,4,0,4
valiant,4,0,4
mixtures,0,4,4
respect,1,3,4
husband,4,0,4
dye,4,0,4
seemes,4,0,4
open,3,1,4
goodnight,4,0,4
owle,4,0,4
hearke,4,0,4
bold,4,0,4
artificial,0,4,4
ready,3,1,4
greatness,3,1,4
pronounce,4,0,4
farre,4,0,4
top,1,3,4
winde,4,0,4
sure,4,0,4
nay,2,2,4
fill,4,0,4
highnesse,4,0,4
heeres,4,0,4
touching,0,4,4
lust,2,2,4
blow,4,0,4
behold,4,0,4
fife,4,0,4
wee,4,0,4
sent,4,0,4
houses,1,3,4
voice,1,3,4
master,4,0,4
brethren,0,4,4
matter,0,4,4
didst,4,0,4
loose,3,1,4
warre,4,0,4
obedience,3,1,4
patterns,0,4,4
swift,4,0,4
killd,4,0,4
greatest,2,2,4
paines,4,0,4
gave,2,2,4
promisd,4,0,4
soule,4,0,4
curious,0,4,4
issve,4,0,4
work,0,4,4
ont,4,0,4
observations,0,4,4
note,4,0,4
women,4,0,4
glamis,4,0,4
start,4,0,4
villaine,4,0,4
rich,1,3,4
banquos,4,0,4
letters,0,4,4
twenty,3,1,4
cheere,4,0,4
often,4,0,4
court,4,0,4
flight,4,0,4
soules,4,0,4
keepes,4,0,4
traitor,4,0,4
nine,4,0,4
something,4,0,4
sundry,3,1,4
loves,4,0,4
owe,4,0,4
distance,2,2,4
perfect,4,0,4
alls,4,0,4
charge,3,1,4
seyton,4,0,4
hearts,3,1,4
gentlemen,4,0,4
books,0,4,4
execution,3,1,4
told,2,2,4
friend,4,0,4
alive,3,1,4
mens,2,2,4
horse,4,0,4
mercy,2,2,4
wise,2,2,4
true,0,4,4
darke,4,0,4
ill,3,1,4
yeeld,4,0,4
thanke,4,0,4
worke,4,0,4
suffer,3,1,4
trees,2,1,3
breake,3,0,3
placed,0,3,3
impostures,0,3,3
evils,2,1,3
boy,3,0,3
somewhat,0,3,3
trade,2,1,3
growes,3,0,3
linen,0,3,3
lies,2,1,3
sometime,3,0,3
pale,3,0,3
custom,0,3,3
danger,2,1,3
beard,2,1,3
middle,0,3,3
practise,1,2,3
halfpace,0,3,3
soone,3,0,3
affeard,3,0,3
tender,2,1,3
smile,2,1,3
jew,0,3,3
priest,0,3,3
promise,2,1,3
minute,2,1,3
lawgiver,0,3,3
snow,1,2,3
christians,0,3,3
boyle,3,0,3
drop,3,0,3
dont,3,0,3
sights,3,0,3
spoken,3,0,3
voyages,0,3,3
particulars,1,2,3
lookd,3,0,3
courage,3,0,3
vices,1,2,3
show,2,1,3
bare,1,2,3
faile,3,0,3
names,1,2,3
feet,2,1,3
shoes,0,3,3
sitteth,0,3,3
reward,0,3,3
moment,3,0,3
applaud,3,0,3
read,1,2,3
kill,3,0,3
begin,2,1,3
graces,3,0,3
host,3,0,3
jesus,0,3,3
certain,0,3,3
diverse,0,3,3
direction,2,1,3
altogether,1,2,3
fathers,3,0,3
coya,0,3,3
keep,0,3,3
mile,2,1,3
discern,1,2,3
broad,3,0,3
feele,3,0,3
declare,0,3,3
mayst,3,0,3
degrees,1,2,3
castles,3,0,3
america,0,3,3
shut,3,0,3
wall,0,3,3
temple,1,2,3
ones,2,1,3
businesse,3,0,3
griefe,3,0,3
bread,0,3,3
reverence,0,3,3
withal,0,3,3
space,1,2,3
secret,2,1,3
sides,3,0,3
naked,2,1,3
forty,0,3,3
meere,3,0,3
angels,2,1,3
taste,1,2,3
mountains,0,3,3
fast,2,1,3
bin,3,0,3
traitors,3,0,3
duncane,3,0,3
human,0,3,3
adorned,0,3,3
twelve,1,2,3
especially,1,2,3
enemy,3,0,3
tables,2,1,3
carry,2,1,3
pious,2,1,3
wash,3,0,3
seemed,0,3,3
avoid,1,2,3
slaine,3,0,3
highest,0,3,3
fellows,0,3,3
murtherd,3,0,3
scone,3,0,3
queene,3,0,3
carried,1,2,3
lifes,3,0,3
bones,3,0,3
bath,1,2,3
glory,1,2,3
wayes,3,0,3
throat,3,0,3
linage,0,3,3
seeing,0,3,3
son,1,2,3
wherefore,3,0,3
shadow,3,0,3
dainty,1,2,3
eate,3,0,3
beleeve,3,0,3
called,0,3,3
beside,2,1,3
island,0,3,3
vulgar,0,3,3
truly,2,1,3
chaste,0,3,3
pride,1,2,3
ground,2,1,3
answered,0,3,3
lacke,3,0,3
forget,1,2,3
remain,0,3,3
damnd,3,0,3
senses,1,2,3
draw,2,1,3
unnaturall,3,0,3
weare,3,0,3
duncans,3,0,3
hopes,3,0,3
murthers,3,0,3
ordain,0,3,3
ends,2,1,3
inventions,0,3,3
possible,0,3,3
flesh,1,2,3
babes,3,0,3
meeting,3,0,3
wish,3,0,3
f,0,3,3
hart,3,0,3
commend,2,1,3
pallace,3,0,3
conference,1,2,3
affraid,3,0,3
mallice,3,0,3
pass,0,3,3
speakst,3,0,3
warlike,3,0,3
groomes,3,0,3
patience,3,0,3
file,3,0,3
canst,3,0,3
according,2,1,3
particular,1,2,3
tree,2,1,3
offices,2,1,3
faith,2,1,3
gives,3,0,3
hear,0,3,3
divell,3,0,3
invention,1,2,3
donalbaine,3,0,3
causes,2,1,3
weyard,3,0,3
roote,3,0,3
disease,3,0,3
daughters,1,2,3
desired,0,3,3
dve,3,0,3
descended,1,2,3
speeches,3,0,3
remembrance,3,0,3
saying,1,2,3
noyse,3,0,3
conditions,0,3,3
paid,2,1,3
ride,3,0,3
advice,2,1,3
horror,3,0,3
fury,3,0,3
hoa,3,0,3
morning,2,1,3
points,1,2,3
worth,3,0,3
led,2,1,3
foole,3,0,3
front,3,0,3
spoke,3,0,3
kernes,3,0,3
horrible,3,0,3
owne,3,0,3
breads,0,3,3
spirits,3,0,3
knowne,3,0,3
meats,0,3,3
lips,3,0,3
plant,2,1,3
justice,3,0,3
gashes,3,0,3
filthy,3,0,3
absolute,3,0,3
grains,0,3,3
gentleman,3,0,3
afar,0,3,3
gvest,3,0,3
save,1,2,3
roots,0,3,3
meteors,0,3,3
mindes,3,0,3
mouncht,3,0,3
ore,3,0,3
damned,3,0,3
wonder,2,1,3
norweyan,3,0,3
success,3,0,3
seemd,3,0,3
act,3,0,3
shine,3,0,3
air,0,3,3
mad,3,0,3
calls,3,0,3
hearing,2,1,3
marke,3,0,3
understand,1,2,3
variety,0,3,3
began,3,0,3
horrid,3,0,3
contend,3,0,3
beasts,0,3,3
wounds,3,0,3
finger,2,1,3
slave,3,0,3
seeke,3,0,3
angus,3,0,3
wilde,3,0,3
whiles,3,0,3
newes,3,0,3
dismall,3,0,3
glamys,3,0,3
braine,3,0,3
liege,3,0,3
proud,2,1,3
ambition,3,0,3
pay,3,0,3
generall,3,0,3
thunder,3,0,3
lesser,2,1,3
easily,0,3,3
charmes,3,0,3
catch,3,0,3
devill,3,0,3
yea,0,3,3
newest,3,0,3
bird,3,0,3
valour,3,0,3
hereafter,2,1,3
pardon,2,1,3
hayle,3,0,3
kinde,3,0,3
hate,2,1,3
leysure,3,0,3
cleave,2,1,3
heavy,3,0,3
weyward,3,0,3
sciences,0,2,2
corn,1,1,2
borders,0,2,2
treasons,2,0,2
swelling,1,1,2
upont,2,0,2
speak,1,1,2
accounted,1,1,2
manly,2,0,2
imperiall,2,0,2
lighted,2,0,2
wracke,2,0,2
armes,2,0,2
ireland,2,0,2
syllable,2,0,2
grown,1,1,2
venom,2,0,2
music,0,2,2
consequence,2,0,2
mechanical,0,2,2
principals,0,2,2
hoped,0,2,2
smiles,2,0,2
safer,2,0,2
perchance,2,0,2
easy,2,0,2
living,1,1,2
heat,0,2,2
tippet,0,2,2
troubled,2,0,2
desolate,1,1,2
discovered,0,2,2
kisse,2,0,2
heeles,2,0,2
sun,1,1,2
sicken,2,0,2
marble,1,1,2
prepared,0,2,2
winn,2,0,2
demand,1,1,2
trusted,2,0,2
quarry,2,0,2
wanted,0,2,2
sickness,0,2,2
treasure,1,1,2
hes,2,0,2
flying,1,1,2
silks,0,2,2
dreadfull,2,0,2
beaten,1,1,2
houres,2,0,2
spices,0,2,2
darkness,2,0,2
sawcy,2,0,2
truths,2,0,2
doubts,2,0,2
confessd,2,0,2
convenient,0,2,2
leavetaking,2,0,2
heads,2,0,2
stage,2,0,2
childe,2,0,2
sawce,2,0,2
blacke,2,0,2
woe,2,0,2
dull,1,1,2
deare,2,0,2
upper,0,2,2
lenox,2,0,2
regard,1,1,2
aid,1,1,2
feed,2,0,2
pure,1,1,2
passion,2,0,2
forgotten,2,0,2
axioms,0,2,2
vice,1,1,2
garments,1,1,2
rebell,2,0,2
named,0,2,2
instituted,0,2,2
orders,0,2,2
stirre,2,0,2
stopt,2,0,2
womans,2,0,2
articulate,0,2,2
rapt,2,0,2
weighd,2,0,2
offered,0,2,2
substance,0,2,2
cling,2,0,2
among,1,1,2
fellow,2,0,2
learn,1,1,2
knew,0,2,2
adde,2,0,2
gladly,1,1,2
tigers,1,1,2
stuffe,2,0,2
yes,2,0,2
green,0,2,2
shining,0,2,2
coole,2,0,2
leaf,0,2,2
destroy,2,0,2
reade,2,0,2
awake,2,0,2
leafe,2,0,2
neyther,2,0,2
goodly,1,1,2
lambe,2,0,2
seize,2,0,2
mediterrane,0,2,2
tongves,2,0,2
precious,2,0,2
fiend,2,0,2
beares,2,0,2
hid,2,0,2
fifty,0,2,2
confound,2,0,2
wear,2,0,2
macbeths,2,0,2
atlantic,0,2,2
bosom,0,2,2
crave,1,1,2
kinds,0,2,2
recoyle,2,0,2
ghost,2,0,2
pine,2,0,2
scruples,2,0,2
navigation,1,1,2
meate,2,0,2
compounded,0,2,2
seventeen,0,2,2
lockes,2,0,2
east,1,1,2
walls,1,1,2
ring,2,0,2
pillowes,2,0,2
courses,0,2,2
famine,2,0,2
insomuch,0,2,2
cells,0,2,2
amazd,2,0,2
window,0,2,2
loyall,2,0,2
unfixe,2,0,2
forbid,2,0,2
blame,2,0,2
goodness,1,1,2
weary,2,0,2
celebrated,0,2,2
choose,0,2,2
gallery,0,2,2
entrance,1,1,2
murtherers,2,0,2
table,1,1,2
midst,1,1,2
judgement,2,0,2
farwell,2,0,2
pittifull,2,0,2
miles,0,2,2
spight,2,0,2
sunn,2,0,2
firstlings,2,0,2
maintain,0,2,2
frets,2,0,2
producing,1,1,2
beleefe,2,0,2
prosperous,2,0,2
merits,0,2,2
objects,0,2,2
esteem,0,2,2
hums,2,0,2
mortal,0,2,2
infected,2,0,2
accursed,2,0,2
thin,0,2,2
advise,2,0,2
hundred,0,2,2
stop,1,1,2
edge,2,0,2
near,0,2,2
fly,2,0,2
needes,2,0,2
enemies,0,2,2
eares,2,0,2
scorne,2,0,2
titles,1,1,2
wing,2,0,2
whereby,1,1,2
corporall,2,0,2
port,0,2,2
station,2,0,2
saviour,0,2,2
vanishd,2,0,2
manhood,2,0,2
whither,2,0,2
bosomes,2,0,2
deceits,0,2,2
bond,2,0,2
arid,0,2,2
sickly,2,0,2
teare,2,0,2
impress,2,0,2
statue,0,2,2
licence,0,2,2
extreme,0,2,2
helps,0,2,2
tooth,2,0,2
lighter,0,2,2
reigne,2,0,2
line,2,0,2
gayne,2,0,2
minds,1,1,2
extasy,2,0,2
curse,2,0,2
haire,2,0,2
poor,0,2,2
sinkes,2,0,2
glasses,0,2,2
seare,2,0,2
depart,1,1,2
partner,2,0,2
sons,0,2,2
fantasticall,2,0,2
rugged,2,0,2
bright,2,0,2
remaines,2,0,2
close,2,0,2
require,2,0,2
straight,2,0,2
inventors,0,2,2
forrest,2,0,2
principal,0,2,2
sonn,2,0,2
absence,2,0,2
bat,2,0,2
waters,0,2,2
statues,0,2,2
flights,0,2,2
abide,2,0,2
snake,2,0,2
infinite,0,2,2
distances,0,2,2
begge,2,0,2
madame,2,0,2
byrnan,2,0,2
got,2,0,2
destruction,2,0,2
feathers,0,2,2
grow,2,0,2
voyage,0,2,2
west,1,1,2
designed,0,2,2
warned,0,2,2
tale,2,0,2
foes,2,0,2
mighty,0,2,2
beate,2,0,2
admirable,0,2,2
fort,2,0,2
mingle,2,0,2
posterity,1,1,2
images,1,1,2
demonstrations,0,2,2
post,2,0,2
swearers,2,0,2
arms,0,2,2
swear,1,1,2
findes,2,0,2
hangd,2,0,2
low,1,1,2
sail,0,2,2
whore,1,1,2
supper,2,0,2
humble,1,1,2
weepe,2,0,2
presence,2,0,2
addition,2,0,2
savage,1,1,2
measure,2,0,2
armd,2,0,2
robes,2,0,2
shewd,2,0,2
mission,0,2,2
mirth,2,0,2
appointed,0,2,2
namd,2,0,2
earnest,2,0,2
kingdomes,2,0,2
publish,0,2,2
forbidden,0,2,2
peru,0,2,2
seem,0,2,2
cosin,2,0,2
tyrambel,0,2,2
wel,2,0,2
adieu,2,0,2
defence,2,0,2
request,1,1,2
weake,2,0,2
aright,1,1,2
spring,2,0,2
longer,2,0,2
happily,1,1,2
whos,2,0,2
held,1,1,2
multiplications,0,2,2
distressed,0,2,2
relief,0,2,2
halfe,2,0,2
selfesame,2,0,2
sharp,0,2,2
upons,2,0,2
root,2,0,2
pretty,2,0,2
lines,0,2,2
eaten,2,0,2
ancient,0,2,2
china,0,2,2
beware,2,0,2
thunders,1,1,2
oath,0,2,2
receiud,2,0,2
watch,2,0,2
wit,2,0,2
returned,0,2,2
knit,1,1,2
deserves,2,0,2
revenge,2,0,2
sooner,2,0,2
descriptions,0,2,2
prayses,2,0,2
wilt,2,0,2
shipping,0,2,2
chose,0,2,2
toot,2,0,2
policy,0,2,2
ages,0,2,2
rainbows,0,2,2
walke,2,0,2
net,1,1,2
gems,0,2,2
lastly,0,2,2
inhabitants,1,1,2
discomfort,2,0,2
steele,2,0,2
generation,0,2,2
drumme,2,0,2
wretched,2,0,2
season,2,0,2
crownd,2,0,2
sticking,2,0,2
weele,2,0,2
hecat,2,0,2
secrets,1,1,2
wants,2,0,2
invite,2,0,2
righteousness,0,2,2
remove,2,0,2
assuredly,0,2,2
troubles,2,0,2
unkle,2,0,2
cries,2,0,2
caldron,2,0,2
remote,0,2,2
souls,0,2,2
mortified,1,1,2
gunpowder,0,2,2
bent,1,1,2
officers,1,1,2
thanked,0,2,2
braines,2,0,2
cheekes,2,0,2
dares,2,0,2
message,2,0,2
youl,2,0,2
coward,2,0,2
esteeme,2,0,2
chargd,2,0,2
secrecy,0,2,2
cat,2,0,2
wonne,2,0,2
region,0,2,2
cloth,0,2,2
questions,0,2,2
fellowes,2,0,2
preparation,2,0,2
heath,2,0,2
caution,2,0,2
angell,2,0,2
harmes,2,0,2
admission,0,2,2
babe,2,0,2
knell,2,0,2
gvilt,2,0,2
dispaire,2,0,2
undone,2,0,2
foorth,2,0,2
robe,1,1,2
repose,2,0,2
humane,2,0,2
torch,2,0,2
deceive,1,1,2
milke,2,0,2
generations,0,2,2
greet,2,0,2
farewell,2,0,2
content,2,0,2
stone,1,1,2
turned,0,2,2
setting,2,0,2
sister,2,0,2
ignorant,1,1,2
miracles,0,2,2
serve,2,0,2
march,2,0,2
purge,2,0,2
consent,1,1,2
cursed,2,0,2
stroakes,2,0,2
mercifull,2,0,2
summons,2,0,2
apostle,0,2,2
males,1,1,2
markd,2,0,2
thirty,1,1,2
sleepy,2,0,2
sheweth,0,2,2
charmed,2,0,2
settled,1,1,2
presently,1,1,2
appetites,0,2,2
mock,2,0,2
ordnance,0,2,2
rain,0,2,2
holily,2,0,2
moone,2,0,2
highly,2,0,2
clock,2,0,2
hail,0,2,2
revolt,2,0,2
creatures,0,2,2
account,1,1,2
girt,0,2,2
banners,2,0,2
merchandise,0,2,2
conduct,1,1,2
continve,2,0,2
strangely,2,0,2
farther,1,1,2
quickly,2,0,2
disgrace,2,0,2
effects,1,1,2
schoole,2,0,2
hat,1,1,2
murtherer,2,0,2
pull,2,0,2
nere,2,0,2
returne,2,0,2
deere,2,0,2
relate,2,0,2
walking,2,0,2
ingredience,2,0,2
poysond,2,0,2
scorn,2,0,2
walkd,2,0,2
ift,2,0,2
norway,2,0,2
spurre,2,0,2
behind,0,2,2
teach,2,0,2
swords,2,0,2
twice,1,1,2
assisted,1,1,2
forgive,2,0,2
haunt,2,0,2
metal,0,2,2
rage,1,1,2
countenance,0,2,2
greeve,2,0,2
numbers,2,0,2
staff,0,2,2
pastoral,0,2,2
crosier,0,2,2
donalbane,2,0,2
shee,2,0,2
field,2,0,2
salvation,0,2,2
subiect,2,0,2
sences,2,0,2
greene,2,0,2
bought,2,0,2
soveraigne,2,0,2
strongly,2,0,2
doot,2,0,2
spanish,0,2,2
supt,2,0,2
earths,0,2,2
dispatch,2,0,2
askd,2,0,2
provide,2,0,2
visit,0,2,2
doore,2,0,2
serpent,2,0,2
othat,2,0,2
flower,2,0,2
vessels,1,1,2
neck,0,2,2
rebellious,2,0,2
slept,2,0,2
towers,0,2,2
six,0,2,2
pricke,2,0,2
drown,2,0,2
teares,2,0,2
satisfy,1,1,2
reverend,0,2,2
sprights,2,0,2
seat,2,0,2
gilt,0,2,2
laid,0,2,2
alone,1,1,2
cleere,2,0,2
raise,1,1,2
maine,2,0,2
lookes,2,0,2
cleare,2,0,2
pitty,2,0,2
appear,0,2,2
spot,2,0,2
wheels,0,2,2
sway,2,0,2
cherubin,1,1,2
able,0,2,2
self,0,2,2
fought,2,0,2
noise,2,0,2
illusions,0,2,2
folly,2,0,2
hurt,1,1,2
cumberland,2,0,2
chiefe,2,0,2
armor,2,0,2
prince,2,0,2
abound,1,1,2
fishes,0,2,2
nearest,1,1,2
kinsmen,2,0,2
fearful,0,2,2
needed,1,1,2
courtesans,0,2,2
dissolute,0,2,2
witches,2,0,2
leaves,2,0,2
severall,2,0,2
differing,0,2,2
sore,2,0,2
juice,0,2,2
shift,2,0,2
govern,2,0,2
toyle,2,0,2
